Date,Sales,Z_Score,Anomaly_Z,Rolling_Mean,Rolling_Std,Anomaly_Rolling,Anomaly_IForest,IForest_Score,Anomaly_Vote_Count,Is_Anomaly
2015-01-03,16.448,-0.8923849198346125,0,439.38599999999997,968.383169641026,0,0,0.11767746436275894,0,0
2015-01-04,288.06,-0.6724695673057991,0,391.3165,906.7992124546017,0,0,0.14391103782890946,0,0
2015-01-05,19.536,-0.8898846672367562,0,348.9413333333334,857.7063034599897,0,0,0.12308165094113899,0,0
2015-01-06,2623.956,1.218829021529177,0,314.04720000000003,816.1471049767656,1,0,0.09158488449561819,1,0
2015-01-07,87.15799999999999,-0.8351333456136195,0,559.9175454545456,1124.4825395616745,0,0,0.13389087164740227,0,0
2015-01-08,0.0,-0.905702327454283,0,518.4210833333333,1081.7455615154827,0,0,0.21916211729669638,0,0
2015-01-09,40.544,-0.8728751767653288,0,490.0771538461539,1040.7223084350155,0,0,0.12974983680728558,0,0
2015-01-10,54.83,-0.8613082698310748,0,476.4976428571429,1001.1837780614895,0,0,0.1335292025416342,0,0
2015-01-11,9.94,-0.8976542345712867,0,475.3227857142857,1001.7746350506169,0,0,0.13809966015594016,0,0
2015-01-12,0.0,-0.905702327454283,0,459.3802142857143,1006.7477034141006,0,0,0.21916211729669638,0,0
2015-01-13,3018.621,1.538376363346859,0,485.0272142857143,999.2261204527754,1,0,0.08071169651086585,1,0
2015-01-14,61.96,-0.8555353420387444,0,468.7879285714286,962.9806300218619,0,0,0.1297134470493268,0,0
2015-01-15,149.95,-0.7842927170110935,0,462.56235714285714,965.9148764295637,0,0,0.1576386276775626,0,0
2015-01-16,299.964,-0.6628312878612127,0,462.56235714285714,965.9148764295637,0,0,0.1393172056914252,0,0
2015-01-17,0.0,-0.905702327454283,0,462.5292142857143,965.9304786082355,0,0,0.21916211729669638,0,0
2015-01-18,64.864,-0.8531840682226255,0,458.61278571428574,967.8199868585049,0,0,0.12948215175348143,0,0
2015-01-19,378.594,-0.599167148687168,0,457.9027857142858,968.1780355864448,0,0,0.12951757124649954,0,0
2015-01-20,2396.606,1.034751162681167,0,536.2777857142858,972.660354278067,0,0,0.09447619079915148,0,0
